StockPile 1,StockPile 2,Error
42,58,83.49640000000004
43,57,83.54489999999998
41,59,83.56809999999993
44,56,83.71360000000003
40,60,83.75999999999998
45,55,84.00250000000001
39,61,84.07210000000002
46,54,84.41159999999996
38,62,84.50439999999996
47,53,84.94089999999998
37,63,85.05690000000004
48,52,85.5904
36,64,85.72959999999995
49,51,86.3601
35,65,86.52250000000002
50,50,87.25
34,66,87.43560000000005
51,49,88.26009999999997
33,67,88.46889999999998
52,48,89.39040000000001
32,68,89.62240000000001
53,47,90.64089999999999
31,69,90.89609999999999
54,46,92.01160000000003
30,70,92.29
55,45,93.50250000000003
29,71,93.80410000000006
56,44,95.1135999999999
28,72,95.43839999999999
57,43,96.8449
27,73,97.19290000000001
58,42,98.6964
26,74,99.0676
59,41,100.66810000000001
25,75,101.0625
60,40,102.76000000000003
24,76,103.17759999999998
61,39,104.97209999999995
23,77,105.4129
62,38,107.30440000000002
22,78,107.76840000000004
63,37,109.7569
21,79,110.24409999999997
64,36,112.32960000000004
20,80,112.84000000000003
65,35,115.02249999999997
19,81,115.5561
66,34,117.83559999999997
18,82,118.39240000000011
67,33,120.76890000000002
17,83,121.34889999999997
68,32,123.82239999999997
16,84,124.42559999999997
69,31,126.9961000000001
15,85,127.62250000000002
70,30,130.29
14,86,130.93960000000004
71,29,133.7041
13,87,134.37689999999998
72,28,137.23839999999998
12,88,137.9344
73,27,140.8929
11,89,141.6121
74,26,144.6676000000001
10,90,145.41000000000003
75,25,148.5625
9,91,149.32810000000003
76,24,152.57759999999993
8,92,153.36639999999997
77,23,156.71290000000005
7,93,157.52489999999995
78,22,160.96840000000003
6,94,161.8036
79,21,165.3441
5,95,166.20249999999996
80,20,169.83999999999997
4,96,170.72160000000008
81,19,174.45609999999988
3,97,175.36090000000002
82,18,179.1924
2,98,180.12039999999996
83,17,184.04889999999997
1,99,185.0001
84,16,189.02560000000005
0,100,190.0
85,15,194.1225
86,14,199.33959999999988
87,13,204.6769
88,12,210.13440000000003
89,11,215.71210000000013
90,10,221.41000000000003
91,9,227.2281
92,8,233.16639999999998
93,7,239.22490000000002
94,6,245.40360000000013
95,5,251.70250000000001
96,4,258.12159999999994
97,3,264.66089999999997
98,2,271.32040000000006
99,1,278.1001
100,0,285.0
